fieldNumber,fieldSpeciesName,infraSpecificRank,infraSpecificName,otherSpeciesName,altitude,sourceOfCoordinates,coordinatePrecision,coordinateUncertainty,dateCreated,sourceFile,generalNotes,hybridStatus,hybridStatusNotes,archived,nswNumber,sampleDate,bundleNumber,boxNumber,livingCollectionId,populationGeneticsId,collectionNotes,tissueSampleColumn,tissueSampleType,hmNumber,herbariumId,herbariumSpecimenIrn,herbariumSpecimenCollector,herbariumCollectionDate,dateToDart,dartServiceNumber,dartOptimization,dartSequencing,duplicateSampleSent,dartNotes,dateToMtAnnan,destructiveSamplingDate,destructiveSamplingBy,destructiveSamplingSiteName,populationInfoId,phenologyId,eventId,idCurrent,acceptedName,genus,species,provisionalAcceptedStatus,taxonType,locality,nationalPark,natureReserve,peoplePresent,stateConservationArea,stateForest,otherTenure,eventKey,plants10m,adultsPresent,juvenilesPresent,speciesIdConfidence,speciesIdNotes,nativeStatus,populationNotes,reproductiveState,flowers,fruit,dartOrderCount,dartOrderServiceNumbers,projectsString,id,type,date,decimalLongitude,decimalLatitude,geodeticDatum
,Planchonella australis,,,,768.0,GPS,,,2019-01-31 13:00:00+00:00,restore_and_renew_14Jan2019.xls,,,,False,NSW1031671,2018-12-08T13:00:00+00:00,,,,,,location_genetic_sample_4,Tissue,,,,,,,,False,False,False,,,,,,popnInfo003857,,S2804_2018-12-09,True,Planchonella australis,Planchonella,australis,n.a.,ALA,Norman Jolly reserve Moonpar Dorrigo,Nymboibinderay National Park,,Robert Kooyman,,,,S2804_2018-12-09,less than 5,yes,yes,,,,,,,,1,DPout22-7748,RandR,,,,152.677157,-30.215851,WGS84
,Planchonella australis,,,,730.0,GPS,,,2019-01-31 13:00:00+00:00,restore_and_renew_14Jan2019.xls,,,,False,NSW1031675,2018-12-08T13:00:00+00:00,,,,,,location_genetic_sample_3,Tissue,,,,,,,,False,False,False,,,,,,popnInfo003857,,S2804_2018-12-09,True,Planchonella australis,Planchonella,australis,n.a.,ALA,Norman Jolly reserve Moonpar Dorrigo,Nymboibinderay National Park,,Robert Kooyman,,,,S2804_2018-12-09,less than 5,yes,yes,,,,,,,,1,DPout22-7748,RandR,,,,152.677359,-30.21636,WGS84
,Planchonella australis,,,,781.0,GPS,,,2019-01-31 13:00:00+00:00,restore_and_renew_14Jan2019.xls,,,,False,NSW1031670,2018-12-08T13:00:00+00:00,,,,,,location_genetic_sample_5,Tissue,,,,,,,,False,False,False,,,,,,popnInfo003857,,S2804_2018-12-09,True,Planchonella australis,Planchonella,australis,n.a.,ALA,Norman Jolly reserve Moonpar Dorrigo,Nymboibinderay National Park,,Robert Kooyman,,,,S2804_2018-12-09,less than 5,yes,yes,,,,,,,,1,DPout22-7748,RandR,,,,152.67356,-30.218498,WGS84
,Planchonella australis,,,,735.0,GPS,,,2019-01-31 13:00:00+00:00,restore_and_renew_14Jan2019.xls,,,,False,NSW1031669,2018-12-08T13:00:00+00:00,,,,,,location_genetic_sample_6,Tissue,,,,,,,,False,False,False,,,,,,popnInfo003857,,S2804_2018-12-09,True,Planchonella australis,Planchonella,australis,n.a.,ALA,Norman Jolly reserve Moonpar Dorrigo,Nymboibinderay National Park,,Robert Kooyman,,,,S2804_2018-12-09,less than 5,yes,yes,,,,,,,,1,DPout22-7748,RandR,,,,152.672906,-30.21852,WGS84
,Planchonella australis,,,,41.62,GPS,8.0,,2022-09-06 00:18:19.322851+00:00,species_export_05-09-2022 14-22-39.csv,,,,False,NSW1162799,2022-09-01T14:00:00+00:00,,,,,Adult tree approx 10m+ tall,,Tissue,,,,,,,,,,,,,,,,popnInfo-e0a8c7da,phenology-eb3800a1,644c8c00-720e-4683-bbbb-2980ee3c199f,True,Planchonella australis,Planchonella,australis,n.a.,ALA,Mungo Brush Rainforest Walking Track,Myall Lakes National Park,,"Richard Dimon, Julian Radford-Smith",,,,644c8c00-720e-4683-bbbb-2980ee3c199f,Only one,Not Sure,Yes,,,,,Sterile,,,1,DPout22-7748,RandR,,,,152.3110394,-32.5401045,WGS84
,Planchonella australis,,,,49.44,GPS,7.07,,2022-09-06 00:18:19.322851+00:00,species_export_05-09-2022 14-22-39.csv,,,,False,NSW1162964,2022-09-01T14:00:00+00:00,,,,,Large adult 12m+ suckering from base,,Tissue,,,,,,,,,,,,,,,,popnInfo-e0a8c7da,phenology-14131b38,644c8c00-720e-4683-bbbb-2980ee3c199f,True,Planchonella australis,Planchonella,australis,n.a.,ALA,Mungo Brush Rainforest Walking Track,Myall Lakes National Park,,"Richard Dimon, Julian Radford-Smith",,,,644c8c00-720e-4683-bbbb-2980ee3c199f,Only one,Not Sure,Yes,,,,,Sterile,,,1,DPout22-7748,RandR,,,,152.3111957,-32.5397529,WGS84
,Planchonella australis,,,,46.46,GPS,5.21,,2022-09-06 00:18:19.322851+00:00,species_export_05-09-2022 14-22-39.csv,,,,False,NSW1162963,2022-09-01T14:00:00+00:00,,,,,Large adult approx 10m tall suckering from base.,,Tissue,,,,,,,,,,,,,,,,popnInfo-e0a8c7da,phenology-a9bd6242,644c8c00-720e-4683-bbbb-2980ee3c199f,True,Planchonella australis,Planchonella,australis,n.a.,ALA,Mungo Brush Rainforest Walking Track,Myall Lakes National Park,,"Richard Dimon, Julian Radford-Smith",,,,644c8c00-720e-4683-bbbb-2980ee3c199f,Only one,Not Sure,Yes,,,,,Sterile,,,1,DPout22-7748,RandR,,,,152.3113301,-32.5393562,WGS84
,Planchonella australis,,,,46.69,GPS,5.12,,2022-09-06 00:18:19.322851+00:00,species_export_05-09-2022 14-22-39.csv,,,,False,NSW1162837,2022-09-01T14:00:00+00:00,,,,,Large adult tree approx 15m+ suckering from base of trunk.,,Tissue,,,,,,,,,,,,,,,,popnInfo-e0a8c7da,phenology-7969c285,644c8c00-720e-4683-bbbb-2980ee3c199f,True,Planchonella australis,Planchonella,australis,n.a.,ALA,Mungo Brush Rainforest Walking Track,Myall Lakes National Park,,"Richard Dimon, Julian Radford-Smith",,,,644c8c00-720e-4683-bbbb-2980ee3c199f,Only one,Not Sure,Yes,,,,,Sterile,,,1,DPout22-7748,RandR,,,,152.3113043,-32.5390996,WGS84
,Planchonella australis,,,,-24.621134,GPS,,,2022-10-05 05:21:54.077521+00:00,species_NorthernNSWcomplete.txt,,,,False,NSW1167674,2022-05-25T14:00:00+00:00,,,,,GPS1,,Tissue,,,,,,,,,,,,,,,,popnInfo-Planchon,phenology-nh_nmd-n,cfab6090-dhd9f-22ec-4963-136e7derNorthCoast37,True,Planchonella australis,Planchonella,australis,n.a.,ALA,Booti Booti National Park,Booti Booti National Park,,"Richard Dimon, Patrick Fahey",,,,cfab6090-dhd9f-22ec-4963-136e7derNorthCoast37,1,Yes,,,,,,Sterile,,,1,DPout22-7748,RandR,,,,152.529,-32.319,WGS84
,Planchonella australis,,,,26.539352,GPS,,,2022-10-05 05:21:54.077521+00:00,species_NorthernNSWcomplete.txt,,,,False,NSW1167624,2022-05-25T14:00:00+00:00,,,,,GPS13,,Tissue,,,,,,,,,,,,,,,,popnInfo-Planchon,phenology-nh_nmd-n,cfab6090-dhd9f-22ec-4963-136e7derNorthCoast36,True,Planchonella australis,Planchonella,australis,n.a.,ALA,"Vegetation behind Blackhead Beach, Blackhead",,,"Richard Dimon, Patrick Fahey",,,,cfab6090-dhd9f-22ec-4963-136e7derNorthCoast36,1,Yes,,,,,,Sterile,,,1,DPout22-7748,RandR,,,,152.544033,-32.076307,WGS84
,Planchonella australis,,,,85.533424,GPS,,,2022-10-05 05:21:54.077521+00:00,species_NorthernNSWcomplete.txt,,,,False,NSW1167197,2022-05-27T14:00:00+00:00,,,,,GPS145,,Tissue,,,,,,,,,,,,,,,,popnInfo-Planchon,phenology-nh_nmd-n,cfab6090-dhd9f-22ec-4963-136e7derNorthCoast41,True,Planchonella australis,Planchonella,australis,n.a.,ALA,"The Pines Picnic Area, Yarriabini National Park",Yarriabini National Park,,"Richard Dimon, Patrick Fahey",,,,cfab6090-dhd9f-22ec-4963-136e7derNorthCoast41,1,Yes,,,,,,Sterile,,,1,DPout22-7748,RandR,,,,152.949167,-30.785938,WGS84
,Planchonella australis,,,,742.558,GPS,,,2022-10-05 05:21:54.077521+00:00,species_NorthernNSWcomplete.txt,,,,False,NSW1167087,2022-05-28T14:00:00+00:00,,,,,GPS192,,Tissue,,,,,,,,,,,,,,,,popnInfo-Planchon,phenology-nh_nmd-n,cfab6090-dhd9f-22ec-4963-136e7derNorthCoast44,True,Planchonella australis,Planchonella,australis,n.a.,ALA,"Never Never, Dorrigo National Park",Dorrigo National Park,,"Richard Dimon, Patrick Fahey",,,,cfab6090-dhd9f-22ec-4963-136e7derNorthCoast44,1,Yes,,,,,,Sterile,,,1,DPout22-7748,RandR,,,,152.800292,-30.359707,WGS84
,Planchonella australis,,,,51.41013,GPS,,,2022-10-05 05:21:54.077521+00:00,species_NorthernNSWcomplete.txt,,,,False,NSW1167445,2022-05-26T14:00:00+00:00,,,,,GPS46,,Tissue,,,,,,,,,,,,,,,,popnInfo-Planchon,phenology-nh_nmd-n,cfab6090-dhd9f-22ec-4963-136e7derNorthCoast40,True,Planchonella australis,Planchonella,australis,n.a.,ALA,Sea Acres National Park,Sea Acres National Park,,"Richard Dimon, Patrick Fahey",,,,cfab6090-dhd9f-22ec-4963-136e7derNorthCoast40,1,Yes,,,,,,Sterile,,,1,DPout22-7748,RandR,,,,152.932086,-31.462915,WGS84
,Planchonella australis,,,,134.78593,GPS,,,2022-10-05 05:21:54.077521+00:00,species_NorthernNSWcomplete.txt,,,,False,NSW1166895,2022-06-03T14:00:00+00:00,,,,,GPS702,,Tissue,,,,,,,,,,,,,,,,popnInfo-Planchon,phenology-nh_nmd-n,cfab6090-dhd9f-22ec-4963-136e7derNorthCoast46,True,Planchonella australis,Planchonella,australis,n.a.,ALA,"Sheepstation Creek, Nymboi-Binderay National Park",Nymboi-Binderay National Park,,"Richard Dimon, Patrick Fahey",,,,cfab6090-dhd9f-22ec-4963-136e7derNorthCoast46,1,Yes,,,,,,Sterile,,,1,DPout22-7748,RandR,,,,152.790313,-30.022623,WGS84
,Planchonella australis,,,,20.742485,GPS,,,2022-10-05 05:21:54.077521+00:00,species_NorthernNSWcomplete.txt,,,,False,NSW1167713,2022-06-05T14:00:00+00:00,,,,,GPS845,,Tissue,,,,,,,,,,,,,,,,popnInfo-Planchon,phenology-nh_nmd-n,cfab6090-dhd9f-22ec-4963-136e7derNorthCoast48,True,Planchonella australis,Planchonella,australis,n.a.,ALA,Bongil-Bongil National Park,Bongil-Bongil National Park,,"Richard Dimon, Patrick Fahey",,,,cfab6090-dhd9f-22ec-4963-136e7derNorthCoast48,1,Yes,,,,,,Sterile,,,1,DPout22-7748,RandR,,,,153.057967,-30.44449,WGS84
,Planchonella australis,,,,83.68018,GPS,,,2022-10-05 05:21:54.077521+00:00,species_NorthernNSWcomplete.txt,,,,False,NSW1167649,2022-05-25T14:00:00+00:00,,,,,GPS8,,Tissue,,,,,,,,,,,,,,,,popnInfo-Planchon,phenology-nh_nmd-n,cfab6090-dhd9f-22ec-4963-136e7derNorthCoast37,True,Planchonella australis,Planchonella,australis,n.a.,ALA,Booti Booti National Park,Booti Booti National Park,,"Richard Dimon, Patrick Fahey",,,,cfab6090-dhd9f-22ec-4963-136e7derNorthCoast37,1,Yes,,,,,,Sterile,,,1,DPout22-7748,RandR,,,,152.527961,-32.320417,WGS84
,Planchonella australis,,,,85.88863,GPS,,,2022-10-05 05:21:54.077521+00:00,species_NorthernNSWcomplete.txt,,,,False,NSW1167650,2022-05-25T14:00:00+00:00,,,,,GPS9,,Tissue,,,,,,,,,,,,,,,,popnInfo-Planchon,phenology-nh_nmd-n,cfab6090-dhd9f-22ec-4963-136e7derNorthCoast37,True,Planchonella australis,Planchonella,australis,n.a.,ALA,Booti Booti National Park,Booti Booti National Park,,"Richard Dimon, Patrick Fahey",,,,cfab6090-dhd9f-22ec-4963-136e7derNorthCoast37,1,Yes,,,,,,Sterile,,,1,DPout22-7748,RandR,,,,152.527925,-32.320341,WGS84
,Planchonella australis,,,,88.83268,GPS,,,2022-10-05 05:21:54.077521+00:00,species_NorthernNSWcomplete.txt,,,,False,NSW1167651,2022-05-25T14:00:00+00:00,,,,,GPS10,,Tissue,,,,,,,,,,,,,,,,popnInfo-Planchon,phenology-nh_nmd-n,cfab6090-dhd9f-22ec-4963-136e7derNorthCoast37,True,Planchonella australis,Planchonella,australis,n.a.,ALA,Booti Booti National Park,Booti Booti National Park,,"Richard Dimon, Patrick Fahey",,,,cfab6090-dhd9f-22ec-4963-136e7derNorthCoast37,1,Yes,,,,,,Sterile,,,1,DPout22-7748,RandR,,,,152.527825,-32.320215,WGS84
,Planchonella australis,,,,100.447174,GPS,,,2022-10-05 05:21:54.077521+00:00,species_NorthernNSWcomplete.txt,,,,False,NSW1167652,2022-05-25T14:00:00+00:00,,,,,GPS11,,Tissue,,,,,,,,,,,,,,,,popnInfo-Planchon,phenology-nh_nmd-n,cfab6090-dhd9f-22ec-4963-136e7derNorthCoast37,True,Planchonella australis,Planchonella,australis,n.a.,ALA,Booti Booti National Park,Booti Booti National Park,,"Richard Dimon, Patrick Fahey",,,,cfab6090-dhd9f-22ec-4963-136e7derNorthCoast37,1,Yes,,,,,,Sterile,,,1,DPout22-7748,RandR,,,,152.52811,-32.3191,WGS84
,Planchonella australis,,,,102.4125,GPS,,,2022-10-05 05:21:54.077521+00:00,species_NorthernNSWcomplete.txt,,,,False,NSW1167653,2022-05-25T14:00:00+00:00,,,,,GPS11,,Tissue,,,,,,,,,,,,,,,,popnInfo-Planchon,phenology-nh_nmd-n,cfab6090-dhd9f-22ec-4963-136e7derNorthCoast37,True,Planchonella australis,Planchonella,australis,n.a.,ALA,Booti Booti National Park,Booti Booti National Park,,"Richard Dimon, Patrick Fahey",,,,cfab6090-dhd9f-22ec-4963-136e7derNorthCoast37,1,Yes,,,,,,Sterile,,,1,DPout22-7748,RandR,,,,152.52811,-32.3191,WGS84
